,lat,lon,flood_height,elevation,precipitation,is_flooding,geometry,index_right,Var
3247,14.60490623,121.0209006,5,12.2221288681,8.0,1,POINT (121.0209006 14.60490623),2.0,3.0
3248,14.59571295,121.0281996,5,10.0956392288,8.0,1,POINT (121.0281996 14.59571295),2.0,3.0
3249,14.40183085,121.0511242,5,3.07025814056,10.0,1,POINT (121.0511242 14.40183085),,
3250,14.34861236,121.0851127,5,7.43409967422,14.0,1,POINT (121.0851127 14.34861236),,
3251,14.34920222,121.0848552,5,7.65107059479,14.0,1,POINT (121.0848552 14.34920222),,
3252,14.52986216,121.0149782,5,8.6990737915,7.0,1,POINT (121.0149782 14.52986216),1.0,2.0
3253,14.63598634,121.0089613,5,13.9481487274,8.0,1,POINT (121.0089613 14.63598634),2.0,3.0
3254,14.78857235,120.9266842,5,5.91241121292,11.0,1,POINT (120.9266842 14.78857235),,
3255,14.78620719,120.9253002,5,5.34012079239,11.0,1,POINT (120.9253002 14.78620719),,
3256,14.5983466,121.0269777,6,12.5956707001,8.0,1,POINT (121.0269777 14.5983466),2.0,3.0
3257,14.63492504,121.0210028,6,23.3392372131,8.0,1,POINT (121.0210028 14.63492504),,
3258,14.59895931,121.0252462,6,11.6390542984,8.0,1,POINT (121.0252462 14.59895931),2.0,3.0
3259,14.70943961,121.0506087,6,43.226852417,13.0,1,POINT (121.0506087 14.70943961),1.0,2.0
3260,14.65488491,121.0670571,6,67.0536956787,11.0,1,POINT (121.0670571 14.65488491),2.0,3.0
3261,14.565641,121.011658,6,10.9474401474,7.0,1,POINT (121.011658 14.565641),0.0,1.0
3262,14.607827,121.018394,6,11.951842308,8.0,1,POINT (121.018394 14.607827),1.0,2.0
3263,14.595316,121.028313,6,9.64952754974,8.0,1,POINT (121.028313 14.595316),2.0,3.0
3264,14.556637,121.041611,6,20.2085590363,8.0,1,POINT (121.041611 14.556637),2.0,3.0
3265,14.582836,121.036186,6,12.3849124908,8.0,1,POINT (121.036186 14.582836),,
3266,14.622844,121.098801,6,14.3396949768,12.0,1,POINT (121.098801 14.622844),2.0,3.0
3267,14.651624,121.030518,6,36.3507270813,9.0,1,POINT (121.030518 14.651624),1.0,2.0
3268,14.67449,121.101616,6,21.3740768433,14.0,1,POINT (121.101616 14.67449),2.0,3.0
3269,14.702003,121.017838,6,29.5722484589,11.0,1,POINT (121.017838 14.702003),2.0,3.0
3270,14.62968,121.082855,6,17.1369037628,11.0,1,POINT (121.082855 14.62968),2.0,3.0
3271,14.64222,121.068733,6,57.0792427063,11.0,1,POINT (121.068733 14.64222),,
3272,14.558662,121.04702,6,26.7507133484,8.0,1,POINT (121.04702 14.558662),,
3273,14.618113,121.097862,6,14.6195602417,12.0,1,POINT (121.097862 14.618113),2.0,3.0
3274,14.630593,121.063095,6,48.1622962952,9.0,1,POINT (121.063095 14.630593),2.0,3.0
3275,14.603664,121.038574,6,23.7621669769,8.0,1,POINT (121.038574 14.603664),2.0,3.0
3276,14.632462,121.047897,6,45.8499717712,9.0,1,POINT (121.047897 14.632462),1.0,2.0
3277,14.625434,121.011765,6,13.9094438553,8.0,1,POINT (121.011765 14.625434),2.0,3.0
3278,14.621198,121.022461,6,17.4341335297,8.0,1,POINT (121.022461 14.621198),,
3279,14.611834,121.022018,6,11.2046871185,8.0,1,POINT (121.022018 14.611834),2.0,3.0
3280,14.611925,121.022064,6,11.2046871185,8.0,1,POINT (121.022064 14.611925),2.0,3.0
3281,14.502351,121.021317,6,13.441906929,7.0,1,POINT (121.021317 14.502351),1.0,2.0
